brand,name,price
レノボ･ジャパン Lenovo,90VH004LJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business2021/ブラック],"￥169,690"
エイスース ASUS,M5401WYAK-WA009W [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/ホワイト],"￥169,800"
デル DELL,AI577T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥194,800"
ミニスフォーラム MINISFORUM,NAB0-16/512-W11Pro（1240P） [ミニパソコン/Core i5-1240P/Iris Xe Graphics eligible/メモリ 16GB/SSD 512GB/Windows 11 Pro],"￥104,800"
ECS イーシーエス,LIVAZ3-8/128-W11Pro（N6000） [小型デスクトップパソコン/Celeron Processor N6000/メモリ 8GB/eMMC 128GB/Windows 11 Pro],"￥65,340"
エイスース ASUS,M3702WFAK-WA008WS [デスクトップパソコン/27.0型/Ryzen 5 7520U/メモリ 16GB/SSD 512G/Windows 11 Home/Office Home and Business 2021/ホワイト],"￥179,800"
マウスコンピューター mouse computer,LHI5U01YC21DNHB3 [ビジネス向けデスクトップパソコン/Core i5-14400/メモリ 32GB/SSD 1TB/Windows 11 Home],"￥149,800"
デル DELL,DX100-DNLC [XPS 8960 デスクトップ/Core i9-13900K/GeForce RTX 3070 LHR/メモリ 32GB/SSD 1TB/Windows 11 Home/グラファイト],"￥399,800"
ECS イーシーエス,LIVAZ3-8/64-W11Pro（N5100） [小型デスクトップパソコン/Celeron Processor N5100/メモリ 8GB/eMMC 64GB/Windows 11 Pro],"￥56,170"
デル DELL,AI759-DNLWC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i5-1335U/UHD グラフィックス/メモリ 8GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥149,800"
レノボ･ジャパン Lenovo,90VH004KJP [ゲーミングデスクトップパソコン/LOQ Tower 17IRB8/Core i5-13400F/GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 11 Home/ブラック],"￥161,110"
デル DELL,AI567T-DNLWC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/パールホワイト],"￥159,800"
エイスース ASUS,M5401WYAK-WA031WS [デスクトップパソコン/ASUS ZenAiO 24 M5401WYAK/23.8型/Ryzen 7 5825U/メモリ 16GB/SSD 512G/HDD 1TB/Windows 11 Home/Office Home ＆ Business 2021/ホワイト],"￥189,800"
レノボ･ジャパン Lenovo,90VT005CJP [デスクトップパソコン IdeaCentre 3i Gen8/Corei7-13700/メモリ 16GB（8GB×2）/SSD 1TB/Windows11 Home/Office Home ＆ Business 2021/グレー],"￥197,780"
ECS イーシーエス,LIVAQ3D-4/64-W10IoT（N4500） [超小型デスクトップパソコン/Celeron N4500/メモリ 4GB/eMMC 64 GB/Windows 10 IoT],"￥53,680"
デル DELL,DX90-DNLC [XPS 8960 デスクトップ/Core i7-13700K/GeForce RTX 3060 Ti LHR/メモリ 16GB/SSD 512GB+HDD 2TB/Windows 11 Home/グラファイト],"￥329,800"
エイスース ASUS,PN64-S5302AD [超小型ミニパソコン/Core i5-13500H/メモリ 8GB/SSD 256GB/Windows 11 Home/ブラック],"￥118,800"
エイスース ASUS,M3402WFAK-WA018WS [デスクトップパソコン/23.8型/Ryzen 5 7520U/メモリ 16GB/SSD 512G/Windows 11 Home/Office Home and Business 2021/ホワイト],"￥169,800"
デル DELL,AI567T-DNHBBC [一体型デスクトップ/Inspiron 24 5420 オールインワン/23.8型/Core i5-1335U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB/Windows 11 Home/Office Home ＆ Business 2021/ダークシャドウグレー],"￥179,800"
デル DELL,AI779T-DNLBC [一体型デスクトップ/Inspiron 27 7720 オールインワン/27.0型/Core i7-1355U/Iris Xe グラフィックス/メモリ 16GB/SSD 512GB＋HDD 1TB/Windows 11 Home/ダークシャドウグレー],"￥199,800"
ガレリア GALLERIA,RR516S-1500-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/GTX 1660SUPER/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥163,840"
マウスコンピューター mouse computer,DGI7G60YC25CNHW3 [ゲーミングデスクトップパソコン G-Tune ホワイトモデル/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥264,800"
マウスコンピューター mouse computer,DGI7G60YC45CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 64GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥269,800"
レイトレック raytrek,4CR7F-47-6100 R32 [デスクトップパソコン/レイトレック/Core i7-13700F/GeForce RTX 4070 12GB GDDR6X/メモリ 64GB/SSD 1TB/Windows 11 Home],"￥349,980"
ガレリア GALLERIA,ZR9K49-1100-YC31-307 [ゲーミングデスクトップパソコン/ガレリア/Core i9-13900KF/RTX 4080/メモリ 16GB/SSD 1TB/Windows 11 Home],"￥724,980"
MSI エムエスアイ,Trident X2 14NUI9-292JP [ウルトラハイエンドゲーミングPC/Core i9-14900KF/GeForce RTX 4090/メモリ 64GB/SSD 2TB/Windows 11 Pro],"￥866,800"
マックスタン MAXTANG,MUC5095-8/128-W11Pro（N5095）WB [法人向けミニPC/N5095/メモリ 8GB/SSD 128GB/Windows 11 Pro/ブラック],"￥40,170"
マウスコンピューター mouse computer,DGI7G60YC25CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 32GB/SSD 500GB/GeForce RTX 4060/Windows 11 Home],"￥259,800"
エイスース ASUS,G22CH-1490KF010W [ゲーミングデスクトップパソコン/ROG G22CH/Core i9-14900KF/RTX 4070/メモリ 32GB/SSD 1TB/Windows 11 Home/エクストリームダークグレー],"￥459,240"
マウスコンピューター mouse computer,DGI7G70YC45CNHB3 [ゲーミングデスクトップパソコン G-Tune/Core i7-13700F/メモリ 64GB/SSD 500GB/GeForce RTX 4070/Windows 11 Home],"￥314,800"
マウスコンピューター mouse computer,LHI5U01YC21DNPB3 [ビジネス向けデスクトップパソコン/Core i5-14400/メモリ 32GB/SSD 1TB/Windows 11 Pro],"￥164,800"
ガレリア GALLERIA,RR536-1100-R31 [ゲーミングデスクトップパソコン ガレリア/Core i5-13400F/RTX 3060/メモリ 16GB/SSD 500GB/Windows 11 Home],"￥229,980"
マウスコンピューター mouse computer,LHI5U01YC61DNPB3 [ビジネス向けデスクトップパソコン/Core i5-14400/メモリ 16GB/SSD 1TB/Windows 11 Pro],"￥149,800"
マックスタン MAXTANG,NX-N100-8/128-W11Pro（N100）WB [法人向けミニPC/N100/メモリ 8GB/SSD 128GB/Windows 11 Pro/ブラック],"￥57,970"
